"question","category","difficulty","company","role","answer"
"What is database normalization and explain 1NF, 2NF, 3NF?","DBMS","Medium","TCS","Data Analyst","Normalization organizes data to reduce redundancy and improve integrity. 1NF requires atomic column values and unique rows. 2NF eliminates partial dependencies on composite keys. 3NF removes transitive dependencies where non-key columns depend on other non-key columns. Higher normal forms progressively reduce anomalies during insert, update, and delete operations."
"What is the difference between INNER JOIN, LEFT JOIN, and FULL OUTER JOIN?","SQL","Easy","Amazon","Data Analyst","INNER JOIN returns only rows with matching values in both tables. LEFT JOIN returns all rows from the left table and matching rows from the right (NULLs for no match). FULL OUTER JOIN returns all rows from both tables, with NULLs where there is no match on either side."
"Explain window functions in SQL with an example.","SQL","Hard","Google","Data Analyst","Window functions perform calculations across a set of rows related to the current row without collapsing them into a single output row, unlike GROUP BY. Functions like ROW_NUMBER(), RANK(), LAG(), and SUM() OVER() are common examples. For example, ROW_NUMBER() OVER (PARTITION BY dept ORDER BY salary DESC) assigns ranks within each department."
"What is the difference between WHERE and HAVING clauses?","SQL","Easy","Microsoft","Data Analyst","WHERE filters rows before any grouping occurs and cannot reference aggregate functions. HAVING filters groups after GROUP BY is applied and can use aggregate functions. Use WHERE to filter individual rows and HAVING to filter aggregated results such as groups with a COUNT greater than a threshold."
"How would you find duplicate records in a SQL table?","SQL","Medium","Meta","Data Analyst","Use GROUP BY on the columns that should be unique and filter with HAVING COUNT(*) > 1 to identify duplicates. For example: SELECT email, COUNT(*) FROM users GROUP BY email HAVING COUNT(*) > 1. To delete duplicates while keeping one, use a CTE with ROW_NUMBER() OVER (PARTITION BY email ORDER BY id) and delete rows where the row number is greater than 1."
"Explain CTEs (Common Table Expressions) and recursive CTEs.","SQL","Hard","Amazon","Data Analyst","A CTE is a named temporary result set defined with the WITH clause that can be referenced within the same query, improving readability. Recursive CTEs reference themselves to handle hierarchical data like org charts or category trees. They consist of an anchor member (base case) and a recursive member joined with UNION ALL."
"What is query optimization and how does an execution plan help?","SQL","Hard","Goldman Sachs","Data Analyst","Query optimization is the process by which the database engine selects the most efficient execution plan for a query by evaluating alternatives based on statistics and cost estimates. Execution plans (viewed via EXPLAIN or EXPLAIN ANALYZE) reveal how the engine scans tables, uses indexes, and joins data. Analyzing them helps identify bottlenecks like full table scans and missing indexes."
"What is the difference between a process and a thread?","Operating Systems","Easy","Google","Software Engineer","A process is an independent program in execution with its own memory space, while a thread is a lighter-weight unit of execution within a process that shares the same memory space. Processes are isolated and communicate via IPC; threads communicate via shared memory but require synchronization. Context switching between threads is faster than between processes."
"Explain deadlock and the four necessary conditions for it.","Operating Systems","Medium","Microsoft","Software Engineer","Deadlock occurs when processes are permanently blocked waiting for resources held by each other. The four necessary conditions (Coffman conditions) are: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. Deadlock prevention involves eliminating at least one of these conditions."
"What is virtual memory and how does paging work?","Operating Systems","Medium","Amazon","Software Engineer","Virtual memory extends physical RAM by using disk space, giving processes the illusion of a large, contiguous memory space. Paging divides virtual and physical memory into fixed-size blocks (pages and frames). The OS maintains a page table to map virtual pages to physical frames; a page fault triggers loading the needed page from disk."
"What is the difference between mutex and semaphore?","Operating Systems","Medium","Meta","Backend Engineer","A mutex (mutual exclusion lock) is a binary synchronization primitive owned by the thread that locks it, ensuring only one thread accesses a critical section. A semaphore is a signaling mechanism with a counter, supporting either binary (similar to mutex) or counting variants for controlling access to a pool of resources. Mutexes must be unlocked by the locking thread; semaphores can be signaled by any thread."
"Explain CPU scheduling algorithms: FCFS, SJF, Round Robin.","Operating Systems","Medium","Uber","Software Engineer","FCFS (First Come First Served) processes jobs in arrival order, simple but suffers from convoy effect. SJF (Shortest Job First) minimizes average waiting time but requires knowing burst times and can cause starvation. Round Robin assigns a fixed time quantum to each process cyclically, providing fairness and good response time for interactive systems."
"Explain the OSI model and its seven layers.","Computer Networks","Easy","Accenture","Backend Engineer","The OSI model has seven layers: Physical (bit transmission), Data Link (framing, MAC), Network (routing, IP), Transport (TCP/UDP, end-to-end reliability), Session (connection management), Presentation (encryption, encoding), and Application (HTTP, DNS, user-facing protocols). Each layer serves the layer above and is served by the layer below."
"What is the difference between TCP and UDP?","Computer Networks","Easy","Amazon","Backend Engineer","TCP (Transmission Control Protocol) is connection-oriented, providing reliable, ordered, and error-checked delivery through handshaking, acknowledgments, and retransmission. UDP (User Datagram Protocol) is connectionless, offering low-latency, best-effort delivery without guaranteed order or reliability. Use TCP for file transfers and web traffic; UDP for video streaming, DNS, and gaming."
"How does HTTPS work and what is TLS?","Computer Networks","Medium","Google","Backend Engineer","HTTPS secures HTTP communication using TLS (Transport Layer Security), which provides encryption, authentication, and data integrity. During the TLS handshake, the server presents a certificate, keys are exchanged using asymmetric cryptography, and a symmetric session key is established for efficient encrypted communication. This prevents eavesdropping and man-in-the-middle attacks."
"What is DNS and how does DNS resolution work?","Computer Networks","Medium","Meta","Backend Engineer","DNS (Domain Name System) translates human-readable domain names to IP addresses. Resolution starts with a local cache; if not found, queries the recursive resolver, then root nameservers, TLD nameservers, and finally the authoritative nameserver. Results are cached with a TTL to reduce future lookup latency."
"Explain the concept of load balancing and common algorithms.","Computer Networks","Medium","Netflix","Backend Engineer","Load balancing distributes incoming network traffic across multiple servers to ensure high availability and reliability. Common algorithms include Round Robin (cyclic distribution), Least Connections (routes to server with fewest active connections), IP Hash (consistent routing by client IP), and Weighted Round Robin. Load balancers can operate at Layer 4 (transport) or Layer 7 (application)."
"What is the bias-variance tradeoff in machine learning?","Machine Learning","Medium","Google","ML Engineer","Bias is error from overly simple models that underfit the data; variance is error from models too sensitive to training data that overfit. The tradeoff means reducing bias often increases variance and vice versa. The goal is to find the sweet spot with the right model complexity that minimizes total generalization error."
"Explain the difference between supervised, unsupervised, and reinforcement learning.","Machine Learning","Easy","Amazon","ML Engineer","Supervised learning trains on labeled data to learn input-output mappings for classification or regression. Unsupervised learning finds hidden patterns in unlabeled data through clustering or dimensionality reduction. Reinforcement learning trains an agent to maximize cumulative reward through trial-and-error interactions with an environment."
"What is cross-validation and why is it used?","Machine Learning","Medium","Microsoft","Data Scientist","Cross-validation is a technique to evaluate model generalization by splitting data into k folds, training on k-1 folds, and validating on the remaining fold, repeated k times. It provides a more reliable performance estimate than a single train-test split. It helps detect overfitting and is used for hyperparameter tuning."
"Explain gradient descent and its variants (SGD, Mini-batch, Adam).","Machine Learning","Medium","Meta","ML Engineer","Gradient descent minimizes a loss function by iteratively updating parameters in the negative gradient direction. SGD updates using one sample at a time (noisy but fast); Mini-batch uses small batches balancing noise and efficiency. Adam combines momentum and adaptive learning rates, making it robust and widely used in deep learning."
"What is regularization and explain L1 vs L2 regularization?","Machine Learning","Medium","Google","Data Scientist","Regularization adds a penalty term to the loss function to prevent overfitting by discouraging large weights. L1 regularization (Lasso) adds the sum of absolute weights, producing sparse models by shrinking some weights to zero. L2 regularization (Ridge) adds the sum of squared weights, penalizing large weights but keeping all features active."
"How does a Random Forest work and why is it better than a single decision tree?","Machine Learning","Medium","Amazon","Data Scientist","Random Forest builds an ensemble of decision trees using bootstrap sampling (bagging) and random feature selection at each split. Predictions are aggregated by majority vote (classification) or averaging (regression). This reduces overfitting and variance compared to single trees, providing better generalization and robustness to noise."
"Explain precision, recall, F1-score, and when to use each.","Machine Learning","Easy","Meta","Data Scientist","Precision measures the fraction of predicted positives that are truly positive; recall measures the fraction of actual positives correctly identified. F1-score is the harmonic mean of precision and recall. Use precision when false positives are costly (spam detection), recall when false negatives are costly (disease diagnosis), and F1 when balance is needed."
"Explain how backpropagation works in neural networks.","Deep Learning","Medium","Google","ML Engineer","Backpropagation computes gradients of the loss with respect to each weight using the chain rule of calculus, propagating errors from output to input layers. These gradients are then used to update weights via gradient descent. It enables efficient training of deep neural networks by computing all partial derivatives in a single backward pass."
"What is batch normalization and why is it used?","Deep Learning","Medium","Meta","ML Engineer","Batch normalization normalizes the activations of each layer across a mini-batch to have zero mean and unit variance, then applies learnable scale and shift parameters. It reduces internal covariate shift, accelerates training, allows higher learning rates, and acts as a regularizer. It is typically applied before or after the activation function."
"Explain the vanishing gradient problem and solutions.","Deep Learning","Hard","Amazon","ML Engineer","The vanishing gradient problem occurs when gradients become exponentially small during backpropagation through many layers, making it difficult to train early layers. It is common with sigmoid and tanh activations. Solutions include using ReLU activations, batch normalization, residual connections (ResNets), and careful weight initialization (Xavier/He initialization)."
"What are attention mechanisms and why are they important in deep learning?","Deep Learning","Hard","Google","ML Engineer","Attention mechanisms allow models to focus on relevant parts of the input when producing each output, computing weighted sums of value vectors based on query-key similarity scores. They enable models to capture long-range dependencies efficiently without the sequential constraints of RNNs. Attention is the foundation of Transformer architectures that dominate NLP and vision tasks."
"Explain the architecture of a Transformer model.","Deep Learning","Hard","Meta","ML Engineer","The Transformer consists of an encoder-decoder architecture using stacked multi-head self-attention and feed-forward layers. The encoder maps input sequences to contextual representations; the decoder generates outputs autoregressively using cross-attention to the encoder. Positional encodings are added to token embeddings to provide sequence order information since the architecture is inherently permutation-invariant."
"Explain how convolutional neural networks work for image classification.","Computer Vision","Medium","Google","Computer Vision Engineer","CNNs apply learned convolutional filters across the input to detect local features like edges and textures in early layers and higher-level patterns in deeper layers. Pooling layers reduce spatial dimensions, and fully connected layers produce class predictions. Weight sharing across spatial locations makes CNNs parameter-efficient and translation-invariant."
"What is transfer learning and how is it applied in computer vision?","Computer Vision","Medium","Meta","Computer Vision Engineer","Transfer learning leverages pretrained models (e.g., ResNet, VGG trained on ImageNet) and fine-tunes them on a target task with limited labeled data. The pretrained convolutional layers extract general visual features, while the final layers are replaced and retrained. It significantly reduces training time and data requirements."
"Explain object detection: YOLO vs Faster R-CNN.","Computer Vision","Hard","Apple","Computer Vision Engineer","YOLO (You Only Look Once) predicts bounding boxes and class probabilities directly in a single forward pass, making it extremely fast and suitable for real-time detection. Faster R-CNN uses a region proposal network to generate candidate regions, then classifies and refines them, offering higher accuracy. YOLO is preferred for speed; Faster R-CNN for accuracy in complex scenes."
"What is image segmentation and how does it differ from object detection?","Computer Vision","Medium","Adobe","Computer Vision Engineer","Image segmentation assigns a label to every pixel in an image, either at the class level (semantic segmentation) or the instance level (instance segmentation). Object detection only produces bounding boxes around objects. Segmentation provides finer spatial understanding and is used in medical imaging, autonomous driving, and scene understanding."
"What is data augmentation in computer vision and why is it important?","Computer Vision","Easy","Google","Computer Vision Engineer","Data augmentation artificially expands the training dataset by applying random transformations like flipping, rotation, cropping, color jitter, and Gaussian noise to existing images. It reduces overfitting, improves model robustness to real-world variations, and is essential when labeled training data is scarce. Augmentation is applied dynamically during training."
"Explain the word2vec model and the difference between CBOW and Skip-gram.","NLP","Medium","Google","ML Engineer","Word2Vec learns dense vector representations of words by training a shallow neural network on large text corpora. CBOW predicts the target word from surrounding context words; Skip-gram predicts surrounding words from the target word. Skip-gram performs better on rare words; CBOW is faster and works well with frequent words."
"What is BERT and how does it differ from GPT?","NLP","Hard","Meta","ML Engineer","BERT (Bidirectional Encoder Representations from Transformers) is pretrained using masked language modeling on both left and right context simultaneously, making it ideal for understanding tasks. GPT is a unidirectional (left-to-right) autoregressive model pretrained for next-token prediction, excelling at text generation. BERT is an encoder-only model; GPT is decoder-only."
"Explain named entity recognition (NER) and its applications.","NLP","Medium","Amazon","Data Scientist","Named Entity Recognition identifies and classifies named entities in text into predefined categories like person, organization, location, date, and product. It is fundamental in information extraction pipelines, question answering, and knowledge graph construction. Modern NER systems use fine-tuned transformer models like BERT with token classification heads."
"What is TF-IDF and how is it used in text retrieval?","NLP","Easy","Accenture","Data Scientist","TF-IDF (Term Frequency-Inverse Document Frequency) scores how important a word is in a document relative to a corpus. TF measures how often a term appears in a document; IDF downweights terms common across many documents. It is widely used in search engines and text classification to rank document relevance to a query."
"What are the challenges of text tokenization and how do subword methods help?","NLP","Medium","Google","ML Engineer","Tokenization splits text into units for model processing; word-level methods struggle with out-of-vocabulary words and morphological complexity. Subword tokenization methods like Byte-Pair Encoding (BPE) and WordPiece split rare words into subword units while keeping frequent words intact. This reduces vocabulary size while handling unknown words gracefully."
"Explain the difference between torch.Tensor and torch.autograd.","PyTorch","Medium","Meta","ML Engineer","torch.Tensor is the core data structure in PyTorch, a multi-dimensional array that can live on CPU or GPU. torch.autograd provides automatic differentiation by building a dynamic computational graph during the forward pass and computing gradients during backward(). When requires_grad=True, operations on tensors are tracked for gradient computation."
"How does PyTorch's DataLoader and Dataset class work?","PyTorch","Easy","Google","ML Engineer","Dataset is an abstract class requiring __len__ and __getitem__ implementations to define how data is loaded and preprocessed. DataLoader wraps a Dataset to provide mini-batches, shuffling, parallel data loading with multiple workers, and optional pin_memory for GPU transfers. This cleanly separates data processing from model training logic."
"What is the difference between model.eval() and torch.no_grad()?","PyTorch","Medium","Amazon","ML Engineer","model.eval() switches the model to evaluation mode, affecting layers like Dropout (disabled) and BatchNorm (uses running statistics instead of batch statistics). torch.no_grad() is a context manager that disables gradient computation to save memory and speed up inference. Both are typically used together during inference but serve different purposes."
"Explain how to implement a custom training loop in PyTorch.","PyTorch","Medium","Meta","ML Engineer","A custom training loop iterates over the DataLoader, feeds batches to the model, computes the loss, calls loss.backward() to compute gradients, updates weights with optimizer.step(), and clears gradients with optimizer.zero_grad(). This provides full control over the training process compared to high-level frameworks. Validation is done similarly with model.eval() and torch.no_grad()."
"What is the difference between TensorFlow 1.x and TensorFlow 2.x?","TensorFlow","Medium","Google","ML Engineer","TensorFlow 1.x used a static computation graph defined with tf.Session, requiring explicit compilation before execution, making debugging harder. TF 2.x enables eager execution by default so operations execute immediately like NumPy, with tf.function for optional graph optimization. TF 2.x also integrates Keras as the default high-level API for simpler model building."
"How do you create a custom layer in TensorFlow/Keras?","TensorFlow","Medium","Microsoft","ML Engineer","Subclass tf.keras.layers.Layer, implement __init__ to define layer configuration and build() to create weights (called once input shape is known), and call() for the forward pass. This approach supports all Keras features like serialization, training flags, and integration with model.fit(). Custom layers can encapsulate complex operations cleanly."
"What is tf.data and how does it improve training pipelines?","TensorFlow","Medium","Google","ML Engineer","tf.data is TensorFlow's API for building efficient input pipelines using a declarative, composable approach. Operations like map(), batch(), shuffle(), and prefetch() can be chained to process data in parallel. prefetch() overlaps data preprocessing and model execution, significantly reducing training time by keeping the GPU busy."
"Explain the use of @tf.function decorator.","TensorFlow","Hard","Amazon","ML Engineer","The @tf.function decorator converts Python functions into TensorFlow graphs using AutoGraph, enabling optimization like operation fusion, constant folding, and parallel execution. It traces the function once and reuses the compiled graph for subsequent calls with compatible inputs. This provides significant speedups over eager execution for computational bottlenecks."
"What is the process of exploratory data analysis (EDA)?","Data Science","Easy","Amazon","Data Scientist","EDA involves systematically examining datasets using statistics and visualization to understand distributions, relationships, and anomalies. Steps include checking data shape and types, summary statistics, missing value analysis, univariate and bivariate visualizations, and correlation analysis. EDA guides feature engineering, model selection, and data cleaning decisions."
"How do you handle missing data in a dataset?","Data Science","Medium","Meta","Data Scientist","Missing data can be handled by deletion (if few and random), imputation (mean/median/mode for numerical, most frequent for categorical), or model-based imputation using KNN or iterative methods. Advanced approaches include using algorithms that handle missingness natively (like XGBoost) or multiple imputation for uncertainty estimation. The strategy depends on the missing data mechanism (MCAR, MAR, MNAR)."
"Explain the concept of feature engineering and its importance.","Data Science","Medium","Google","Data Scientist","Feature engineering transforms raw data into informative representations that improve model performance. Techniques include creating interaction terms, binning numerical variables, encoding categoricals, extracting date/time components, and normalizing features. Good feature engineering can outweigh algorithm choice and is critical for interpretable and performant models."
"What is A/B testing and how do you determine statistical significance?","Data Science","Medium","Uber","Data Analyst","A/B testing compares two variants by randomly assigning users to control and treatment groups and measuring a key metric. Statistical significance is determined using hypothesis testing (e.g., t-test or z-test) by computing a p-value and comparing it to a significance level (typically 0.05). Sample size must be calculated in advance to ensure sufficient statistical power."
"What is Principal Component Analysis (PCA) and when would you use it?","Data Science","Medium","Microsoft","Data Scientist","PCA is an unsupervised dimensionality reduction technique that projects data onto orthogonal principal components capturing maximum variance in decreasing order. It reduces feature dimensionality to address the curse of dimensionality, remove correlated features, and enable visualization. Use PCA before clustering or classification when high-dimensional data has correlated features."
"What is the virtual DOM and how does React use it?","React","Easy","Meta","Frontend Engineer","The virtual DOM is a lightweight JavaScript representation of the actual DOM. When state changes, React creates a new virtual DOM tree, diffs it against the previous one using a reconciliation algorithm, and applies only the minimal set of real DOM updates. This batching and selective updating makes React more efficient than directly manipulating the DOM."
"Explain React hooks: useState, useEffect, and useContext.","React","Medium","Netflix","Frontend Engineer","useState provides stateful values and a setter function in functional components. useEffect handles side effects like data fetching and subscriptions, running after renders with optional cleanup; its dependency array controls when it re-runs. useContext consumes React context values without prop drilling, useful for sharing global state like themes or authentication."
"What is the difference between controlled and uncontrolled components in React?","React","Medium","Atlassian","Frontend Engineer","In controlled components, form input values are driven by React state and updated via onChange handlers, giving React full control over the data. In uncontrolled components, form data is managed by the DOM itself and accessed via refs. Controlled components are more predictable and easier to validate; uncontrolled are simpler for basic forms."
"How does React's reconciliation algorithm work?","React","Hard","Meta","Frontend Engineer","React's reconciliation (Fiber) algorithm compares new and old virtual DOM trees using heuristics: it assumes components of different types produce different trees and uses keys to match list items efficiently. Rather than full tree comparison (O(n³)), these heuristics bring it to O(n). Work is broken into units that can be paused and prioritized using the Fiber scheduler."
"Explain React performance optimization techniques.","React","Hard","Netflix","Frontend Engineer","Key optimizations include React.memo for memoizing components to prevent unnecessary re-renders, useMemo and useCallback for memoizing expensive computations and callback references, code splitting with React.lazy and Suspense, virtualization for long lists, and avoiding anonymous functions/objects in JSX. Profiling with React DevTools identifies actual bottlenecks before optimizing."
"Explain the Node.js event loop and non-blocking I/O.","NodeJS","Medium","Uber","Backend Engineer","Node.js runs on a single thread using an event loop that processes events and callbacks from a queue, delegating I/O operations to the OS kernel or libuv thread pool. Non-blocking I/O allows Node to handle thousands of concurrent connections without thread-per-connection overhead. The event loop phases include timers, I/O callbacks, idle, poll, check, and close callbacks."
"What is middleware in Express.js and how does it work?","NodeJS","Easy","Atlassian","Backend Engineer","Middleware functions in Express are functions that have access to req, res, and next, forming a pipeline for request processing. They can modify requests and responses, execute code, end the request-response cycle, or call next() to pass control to the next middleware. Middleware is used for logging, authentication, parsing request bodies, and error handling."
"How do you handle errors in asynchronous Node.js code?","NodeJS","Medium","Amazon","Backend Engineer","Async errors can be handled using try-catch blocks with async/await for clean synchronous-style error handling. Promises use .catch() chains; callback-based code follows the error-first convention (err as the first argument). Unhandled rejection handling with process.on('unhandledRejection') and express error middleware (four-argument functions) catch errors globally."
"What is the difference between require() and ES module import in Node.js?","NodeJS","Medium","Meta","Backend Engineer","require() is Node.js's CommonJS module system that loads modules synchronously and caches them. ES module import is asynchronous, statically analyzed (enabling tree-shaking), and uses the .mjs extension or 'type: module' in package.json. ES modules support named and default exports natively and are the standard for modern JavaScript."
"How would you design a URL shortening service like bit.ly?","System Design","Hard","Amazon","Software Engineer","The core components are an API server, a key generation service (using base62 encoding of an auto-incremented ID or a hash), and a key-value store like Redis or DynamoDB for URL mappings. Handle redirects with 301/302 HTTP responses. Scale with CDN caching for popular URLs, rate limiting, and read replicas. Analytics can be added with an async event pipeline."
