"question","category","difficulty","company","role"
"Explain React's Suspense and lazy loading for code splitting.","React","Medium","Netflix","Frontend Engineer"
"What are React portals and when would you use them?","React","Medium","Atlassian","Frontend Engineer"
"Explain the concept of lifting state up in React.","React","Easy","Adobe","Frontend Engineer"
"What is server-side rendering (SSR) in React and how does Next.js implement it?","React","Hard","Uber","Frontend Engineer"
"What is the difference between process.nextTick() and setImmediate() in Node.js?","NodeJS","Hard","Uber","Backend Engineer"
"How do you implement rate limiting in a Node.js API?","NodeJS","Medium","Amazon","Backend Engineer"
"Explain streams in Node.js and the four types of streams.","NodeJS","Hard","Netflix","Backend Engineer"
"What is clustering in Node.js and how does it utilize multiple CPU cores?","NodeJS","Medium","Atlassian","Backend Engineer"
"How would you design a distributed message queue like Kafka?","System Design","Hard","Amazon","Software Engineer"
"How would you design a global rate limiter for an API gateway?","System Design","Hard","Uber","Backend Engineer"
"Design a typeahead search suggestion system.","System Design","Hard","Google","Software Engineer"
"How would you design a distributed file storage system like Google Drive?","System Design","Hard","Google","Software Engineer"
"Design a real-time collaborative document editing system like Google Docs.","System Design","Hard","Microsoft","Software Engineer"
"What is a service mesh and how does Istio work?","DevOps","Hard","Google","Backend Engineer"
"Explain GitOps and how it differs from traditional CI/CD.","DevOps","Medium","Atlassian","Software Engineer"
"What is observability and how do logs, metrics, and traces differ?","DevOps","Medium","Netflix","Backend Engineer"
"How does Helm work for Kubernetes application management?","DevOps","Medium","Amazon","Software Engineer"
